index,condition,Estimate,ci_low,ci_high,SE,DF,time
3,RP,0.302,-0.241,0.844,0.264,25.644,-2.3277441406249997
0,Hit,1.563,0.586,2.539,0.496,290.05,-2.317744140625
1,Miss,0.921,0.178,1.663,0.374,105.771,-2.317744140625
2,FTI,2.886,1.566,4.206,0.673,990.0,-2.317744140625
3,RP,0.196,-0.323,0.716,0.253,26.548,-2.317744140625
0,Hit,1.464,0.483,2.445,0.498,265.298,-2.3077441406249997
1,Miss,0.823,0.071,1.576,0.379,98.164,-2.3077441406249997
2,FTI,2.805,1.487,4.124,0.672,882.643,-2.3077441406249997
3,RP,0.041,-0.496,0.578,0.261,25.925,-2.3077441406249997
0,Hit,1.216,0.219,2.214,0.506,232.92,-2.2977441406249994
1,Miss,0.677,-0.097,1.451,0.389,88.273,-2.2977441406249994
2,FTI,2.801,1.473,4.129,0.677,749.407,-2.2977441406249994
3,RP,-0.017,-0.584,0.549,0.275,25.029,-2.2977441406249994
0,Hit,1.256,0.256,2.256,0.508,234.146,-2.2877441406249996
1,Miss,0.793,0.018,1.569,0.39,88.539,-2.2877441406249996
2,FTI,2.859,1.526,4.192,0.679,755.929,-2.2877441406249996
3,RP,-0.015,-0.582,0.552,0.275,24.964,-2.2877441406249996
0,Hit,1.207,0.219,2.195,0.502,248.752,-2.277744140625
1,Miss,0.835,0.074,1.597,0.384,92.989,-2.277744140625
2,FTI,3.277,1.955,4.599,0.673,815.603,-2.277744140625
3,RP,0.026,-0.525,0.576,0.267,25.37,-2.277744140625
0,Hit,0.946,-0.035,1.927,0.498,260.541,-2.2677441406249996
1,Miss,0.646,-0.108,1.399,0.38,96.729,-2.2677441406249996
2,FTI,3.862,2.546,5.178,0.671,862.233,-2.2677441406249996
3,RP,0.052,-0.488,0.592,0.263,25.818,-2.2677441406249996
0,Hit,0.889,-0.096,1.875,0.501,268.915,-2.2577441406249994
1,Miss,0.573,-0.182,1.328,0.381,99.367,-2.2577441406249994
2,FTI,4.007,2.682,5.332,0.675,896.16,-2.2577441406249994
3,RP,0.024,-0.514,0.561,0.262,26.109,-2.2577441406249994
0,Hit,0.949,-0.046,1.945,0.505,249.386,-2.2477441406249996
1,Miss,0.489,-0.278,1.255,0.386,92.992,-2.2477441406249996
2,FTI,3.586,2.253,4.918,0.679,821.454,-2.2477441406249996
3,RP,0.034,-0.519,0.587,0.268,25.208,-2.2477441406249996
0,Hit,0.917,-0.082,1.916,0.507,231.308,-2.237744140625
1,Miss,0.214,-0.561,0.988,0.39,87.325,-2.237744140625
2,FTI,3.096,1.764,4.428,0.679,749.672,-2.237744140625
3,RP,0.097,-0.469,0.663,0.275,24.556,-2.237744140625
0,Hit,1.046,0.072,2.02,0.495,263.436,-2.2277441406249996
1,Miss,0.15,-0.597,0.898,0.377,97.619,-2.2277441406249996
2,FTI,2.958,1.651,4.266,0.666,874.322,-2.2277441406249996
3,RP,0.143,-0.391,0.678,0.26,25.899,-2.2277441406249996
0,Hit,1.375,0.407,2.342,0.491,270.505,-2.2177441406249994
1,Miss,0.304,-0.437,1.045,0.374,100.083,-2.2177441406249994
2,FTI,3.172,1.873,4.472,0.662,898.561,-2.2177441406249994
3,RP,0.175,-0.353,0.703,0.257,26.365,-2.2177441406249994
0,Hit,1.207,0.223,2.191,0.499,233.915,-2.2077441406249996
1,Miss,0.337,-0.427,1.101,0.384,88.867,-2.2077441406249996
2,FTI,3.511,2.201,4.821,0.667,749.201,-2.2077441406249996
3,RP,0.22,-0.34,0.78,0.272,25.33,-2.2077441406249996
0,Hit,0.709,-0.252,1.67,0.488,269.07,-2.197744140625
1,Miss,0.35,-0.387,1.087,0.371,99.635,-2.197744140625
2,FTI,3.837,2.546,5.128,0.658,892.665,-2.197744140625
3,RP,0.163,-0.363,0.688,0.256,26.32,-2.197744140625
0,Hit,0.734,-0.206,1.675,0.478,314.215,-2.1877441406249996
1,Miss,0.652,-0.058,1.363,0.358,113.688,-2.1877441406249996
2,FTI,4.017,2.74,5.294,0.651,1089.409,-2.1877441406249996
3,RP,-0.061,-0.55,0.428,0.239,27.511,-2.1877441406249996
0,Hit,0.904,-0.046,1.854,0.483,299.934,-2.1777441406249993
1,Miss,0.964,0.244,1.685,0.364,109.049,-2.1777441406249993
2,FTI,4.092,2.805,5.378,0.656,1029.03,-2.1777441406249993
3,RP,-0.127,-0.628,0.374,0.244,26.996,-2.1777441406249993
0,Hit,0.695,-0.259,1.65,0.485,290.401,-2.1677441406249995
1,Miss,0.825,0.099,1.55,0.366,105.943,-2.1677441406249995
2,FTI,4.371,3.081,5.661,0.657,990.071,-2.1677441406249995
3,RP,-0.007,-0.515,0.501,0.247,26.618,-2.1677441406249995
0,Hit,0.535,-0.44,1.511,0.496,283.176,-2.1577441406249998
1,Miss,0.616,-0.128,1.359,0.375,103.842,-2.1577441406249998
2,FTI,4.457,3.141,5.772,0.67,955.467,-2.1577441406249998
3,RP,0.003,-0.522,0.527,0.255,26.562,-2.1577441406249998
0,Hit,0.825,-0.135,1.785,0.488,329.555,-2.1477441406249995
1,Miss,0.642,-0.08,1.364,0.365,118.71,-2.1477441406249995
2,FTI,4.035,2.727,5.343,0.667,1156.166,-2.1477441406249995
3,RP,-0.002,-0.494,0.49,0.24,28.043,-2.1477441406249995
0,Hit,1.061,0.111,2.012,0.483,333.915,-2.1377441406249993
1,Miss,0.527,-0.187,1.242,0.361,120.249,-2.1377441406249993
2,FTI,3.827,2.531,5.124,0.661,1171.991,-2.1377441406249993
3,RP,0.09,-0.396,0.575,0.237,28.3,-2.1377441406249993
0,Hit,0.98,0.029,1.93,0.483,341.733,-2.1277441406249995
1,Miss,0.474,-0.237,1.185,0.359,122.504,-2.1277441406249995
2,FTI,3.628,2.328,4.927,0.662,1220.133,-2.1277441406249995
3,RP,0.062,-0.417,0.541,0.234,28.192,-2.1277441406249995
0,Hit,0.985,0.035,1.934,0.483,340.265,-2.1177441406249997
1,Miss,0.636,-0.076,1.348,0.36,122.176,-2.1177441406249997
2,FTI,3.164,1.866,4.461,0.661,1206.949,-2.1177441406249997
3,RP,-0.07,-0.55,0.411,0.235,28.323,-2.1177441406249997
0,Hit,0.962,0.016,1.907,0.481,312.853,-2.107744140625
1,Miss,0.764,0.049,1.48,0.361,113.633,-2.107744140625
2,FTI,3.254,1.972,4.536,0.653,1073.025,-2.107744140625
3,RP,-0.054,-0.549,0.441,0.242,27.85,-2.107744140625
0,Hit,0.82,-0.139,1.78,0.487,275.204,-2.0977441406249997
1,Miss,0.819,0.084,1.553,0.37,101.755,-2.0977441406249997
2,FTI,3.675,2.385,4.965,0.657,914.02,-2.0977441406249997
3,RP,0.037,-0.486,0.559,0.254,26.704,-2.0977441406249997
0,Hit,0.97,0.03,1.91,0.478,318.431,-2.0877441406249995
1,Miss,0.662,-0.047,1.371,0.358,115.166,-2.0877441406249995
2,FTI,3.761,2.484,5.038,0.651,1104.524,-2.0877441406249995
3,RP,-0.103,-0.59,0.385,0.238,27.764,-2.0877441406249995
0,Hit,1.182,0.251,2.113,0.473,342.897,-2.0777441406249997
1,Miss,0.516,-0.181,1.214,0.352,123.191,-2.0777441406249997
2,FTI,3.935,2.664,5.206,0.648,1213.562,-2.0777441406249997
3,RP,-0.276,-0.747,0.195,0.23,28.565,-2.0777441406249997
0,Hit,1.166,0.197,2.134,0.492,274.103,-2.067744140625
1,Miss,0.76,0.019,1.502,0.374,101.264,-2.067744140625
2,FTI,4.226,2.923,5.528,0.663,912.286,-2.067744140625
3,RP,-0.213,-0.74,0.314,0.257,26.532,-2.067744140625
0,Hit,1.05,0.074,2.026,0.496,281.998,-2.0577441406249997
1,Miss,0.896,0.151,1.64,0.376,103.537,-2.0577441406249997
2,FTI,4.017,2.701,5.333,0.671,949.15,-2.0577441406249997
3,RP,-0.126,-0.652,0.399,0.256,26.587,-2.0577441406249997
0,Hit,1.033,0.077,1.989,0.486,351.235,-2.0477441406249994
1,Miss,0.815,0.101,1.528,0.361,125.702,-2.0477441406249994
2,FTI,3.479,2.169,4.788,0.668,1264.378,-2.0477441406249994
3,RP,-0.095,-0.572,0.382,0.233,28.515,-2.0477441406249994
0,Hit,1.223,0.274,2.172,0.482,361.405,-2.0377441406249996
1,Miss,0.846,0.141,1.55,0.356,128.854,-2.0377441406249996
