index,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,time
1,Hit - FTI,-1.943,-4.109,0.223,0.821,3222.28,-2.368,0.108,,-2.3677441406249997
2,Hit - RP,1.567,0.208,2.926,0.515,2661.311,3.043,0.014,*,-2.3677441406249997
3,Miss - FTI,-2.612,-4.579,-0.644,0.745,3280.581,-3.504,0.003,**,-2.3677441406249997
4,Miss - RP,0.898,-0.142,1.938,0.394,1985.142,2.28,0.136,,-2.3677441406249997
5,FTI - RP,3.51,1.686,5.333,0.691,3297.929,5.081,0.0,***,-2.3677441406249997
0,Hit - Miss,0.458,-1.052,1.968,0.572,3154.646,0.801,1.0,,-2.357744140625
1,Hit - FTI,-2.231,-4.375,-0.086,0.812,3243.232,-2.746,0.036,*,-2.357744140625
2,Hit - RP,1.398,0.051,2.746,0.51,2779.328,2.74,0.037,*,-2.357744140625
3,Miss - FTI,-2.689,-4.636,-0.741,0.738,3286.497,-3.645,0.002,**,-2.357744140625
4,Miss - RP,0.94,-0.092,1.973,0.391,2157.762,2.405,0.098,.,-2.357744140625
5,FTI - RP,3.629,1.825,5.433,0.683,3297.957,5.31,0.0,***,-2.357744140625
0,Hit - Miss,0.432,-1.054,1.918,0.563,3185.827,0.767,1.0,,-2.3477441406249997
1,Hit - FTI,-2.114,-4.225,-0.004,0.799,3257.117,-2.645,0.049,*,-2.3477441406249997
2,Hit - RP,1.229,-0.099,2.556,0.503,2865.345,2.444,0.088,.,-2.3477441406249997
3,Miss - FTI,-2.546,-4.462,-0.63,0.726,3290.305,-3.508,0.003,**,-2.3477441406249997
4,Miss - RP,0.797,-0.221,1.815,0.386,2294.96,2.067,0.233,,-2.3477441406249997
5,FTI - RP,3.343,1.568,5.118,0.672,3297.662,4.973,0.0,***,-2.3477441406249997
0,Hit - Miss,0.589,-0.885,2.063,0.558,3164.118,1.055,1.0,,-2.3377441406249995
1,Hit - FTI,-1.742,-3.836,0.351,0.793,3247.647,-2.197,0.168,,-2.3377441406249995
2,Hit - RP,1.14,-0.176,2.456,0.498,2803.452,2.288,0.133,,-2.3377441406249995
3,Miss - FTI,-2.331,-4.232,-0.431,0.72,3287.793,-3.238,0.007,**,-2.3377441406249995
4,Miss - RP,0.552,-0.457,1.56,0.382,2193.623,1.444,0.893,,-2.3377441406249995
5,FTI - RP,2.883,1.122,4.644,0.667,3297.878,4.322,0.0,***,-2.3377441406249995
0,Hit - Miss,0.607,-0.879,2.093,0.563,3088.64,1.079,1.0,,-2.3277441406249997
1,Hit - FTI,-1.575,-3.687,0.537,0.8,3213.035,-1.969,0.295,,-2.3277441406249997
2,Hit - RP,1.125,-0.2,2.45,0.502,2611.25,2.242,0.15,,-2.3277441406249997
3,Miss - FTI,-2.182,-4.1,-0.264,0.727,3277.987,-3.003,0.016,*,-2.3277441406249997
4,Miss - RP,0.518,-0.496,1.531,0.384,1915.681,1.349,1.0,,-2.3277441406249997
5,FTI - RP,2.7,0.921,4.478,0.674,3297.814,4.008,0.0,***,-2.3277441406249997
0,Hit - Miss,0.642,-0.842,2.126,0.562,3037.072,1.142,1.0,,-2.317744140625
1,Hit - FTI,-1.323,-3.433,0.787,0.799,3188.366,-1.656,0.587,,-2.317744140625
2,Hit - RP,1.366,0.044,2.688,0.501,2494.293,2.729,0.038,*,-2.317744140625
3,Miss - FTI,-1.965,-3.882,-0.048,0.726,3270.754,-2.706,0.041,*,-2.317744140625
