condition,isprobe,isfti,wait_times,probe_times,fti_time,subject,brief,event_times
FTI,1,1,,3.9421732000191696,0.1384974999818951,33708,False,3.9421732000191696
RP,0,0,3.504419400007464,,,33708,True,3.504419400007464
RP,0,0,3.508800500014331,,,33708,True,3.508800500014331
RP,0,0,3.3983155000023544,,,33708,True,3.3983155000023544
RP,0,0,3.4796801999909803,,,33708,True,3.4796801999909803
RP,0,0,3.6881423000013456,,,33708,False,3.6881423000013456
RP,0,0,3.2669506999955047,,,33708,True,3.2669506999955047
RP,0,0,4.16740390000632,,,33708,False,4.16740390000632
RP,0,0,3.711792099988088,,,33708,False,3.711792099988088
RP,0,0,3.720224099990446,,,33708,False,3.720224099990446
RP,0,0,3.455253399995854,,,33708,True,3.455253399995854
RP,0,0,3.815674899989972,,,33708,False,3.815674899989972
Hit,1,0,,5.0195794999890495,,33708,False,5.0195794999890495
RP,0,0,2.8022568999731448,,,33708,True,2.8022568999731448
RP,0,0,3.392415100010112,,,33708,True,3.392415100010112
RP,0,0,3.2078659999824595,,,33708,True,3.2078659999824595
RP,0,0,3.151825999986613,,,33708,True,3.151825999986613
RP,0,0,3.352343700011261,,,33708,True,3.352343700011261
RP,0,0,3.6870983999979217,,,33708,False,3.6870983999979217
RP,0,0,3.719327800004976,,,33708,False,3.719327800004976
RP,0,0,3.927729699993506,,,33708,False,3.927729699993506
RP,0,0,3.2086231999855954,,,33708,True,3.2086231999855954
RP,0,0,3.199307000002591,,,33708,True,3.199307000002591
RP,0,0,4.519104800012428,,,33708,False,4.519104800012428
RP,0,0,3.5438045999908354,,,33708,True,3.5438045999908354
RP,0,0,3.6552223000035156,,,33708,True,3.6552223000035156
RP,0,0,4.8624283999961335,,,33708,False,4.8624283999961335
RP,0,0,3.5095552999991924,,,33708,True,3.5095552999991924
RP,0,0,2.5598626999999397,,,33708,True,2.5598626999999397
RP,0,0,3.384586100000888,,,33708,True,3.384586100000888
RP,0,0,3.2720711000147276,,,33708,True,3.2720711000147276
RP,0,0,3.371414299996104,,,33708,True,3.371414299996104
RP,0,0,4.135719899990363,,,33708,False,4.135719899990363
RP,0,0,3.824395400006324,,,33708,False,3.824395400006324
RP,0,0,3.712119600008009,,,33708,False,3.712119600008009
RP,0,0,4.6632006999861915,,,33708,False,4.6632006999861915
RP,0,0,3.223848599998746,,,33708,True,3.223848599998746
RP,0,0,3.408142299973406,,,33708,True,3.408142299973406
RP,0,0,3.39925580000272,,,33708,True,3.39925580000272
RP,0,0,3.174803800007794,,,33708,True,3.174803800007794
RP,0,0,3.375917400000617,,,33708,True,3.375917400000617
RP,0,0,3.583032499998808,,,33708,True,3.583032499998808
RP,0,0,3.2164370999962557,,,33708,True,3.2164370999962557
RP,0,0,2.975472699996317,,,33708,True,2.975472699996317
RP,0,0,2.7679652999795508,,,33708,True,2.7679652999795508
RP,0,0,3.536022199987201,,,33708,True,3.536022199987201
RP,0,0,3.140129799983697,,,33708,True,3.140129799983697
RP,0,0,3.687025099992752,,,33708,False,3.687025099992752
RP,0,0,3.024655800021719,,,33708,True,3.024655800021719
RP,0,0,3.1831071999913547,,,33708,True,3.1831071999913547
RP,0,0,3.53509820002364,,,33708,True,3.53509820002364
RP,0,0,2.8478986999834888,,,33708,True,2.8478986999834888
RP,0,0,2.831290699978126,,,33708,True,2.831290699978126
RP,0,0,3.2888413000036962,,,33708,True,3.2888413000036962
RP,0,0,2.5993880000023637,,,33708,True,2.5993880000023637
RP,0,0,2.4673156999924686,,,33708,True,2.4673156999924686
RP,0,0,2.8281554999994114,,,33708,True,2.8281554999994114
RP,0,0,3.616256199980853,,,33708,True,3.616256199980853
RP,0,0,3.848123600007966,,,33708,False,3.848123600007966
RP,0,0,3.5037229000008665,,,33708,True,3.5037229000008665
RP,0,0,3.3763537000049837,,,33708,True,3.3763537000049837
RP,0,0,2.791623299999628,,,33708,True,2.791623299999628
RP,0,0,3.2314195999933872,,,33708,True,3.2314195999933872
RP,0,0,2.583844599983422,,,33708,True,2.583844599983422
RP,0,0,3.9762964000110514,,,33708,False,3.9762964000110514
RP,0,0,2.7600162999879103,,,33708,True,2.7600162999879103
RP,0,0,2.939363100012997,,,33708,True,2.939363100012997
RP,0,0,2.703670899994904,,,33708,True,2.703670899994904
RP,0,0,3.136221100023249,,,33708,True,3.136221100023249
RP,0,0,2.9759201999986544,,,33708,True,2.9759201999986544
RP,0,0,2.6717972999904305,,,33708,True,2.6717972999904305
RP,0,0,3.2958692999964114,,,33708,True,3.2958692999964114
RP,0,0,2.336230799992336,,,33708,True,2.336230799992336
RP,0,0,2.8755269999965094,,,33708,True,2.8755269999965094
RP,0,0,2.703599000000395,,,33708,True,2.703599000000395
RP,0,0,3.400254899985157,,,33708,True,3.400254899985157
RP,0,0,2.7679286999918986,,,33708,True,2.7679286999918986
RP,0,0,3.376479200000176,,,33708,True,3.376479200000176
RP,0,0,2.719929899991257,,,33708,True,2.719929899991257
RP,0,0,2.447960099991178,,,33708,True,2.447960099991178
RP,0,0,3.3007361000054516,,,33708,True,3.3007361000054516
RP,0,0,2.9680515000072774,,,33708,True,2.9680515000072774
RP,0,0,3.176068300002953,,,33708,True,3.176068300002953
RP,0,0,2.5829168000200298,,,33708,True,2.5829168000200298
RP,0,0,3.3441728000179864,,,33708,True,3.3441728000179864
RP,0,0,2.8722096999990754,,,33708,True,2.8722096999990754
RP,0,0,4.039815899974201,,,33709,False,4.039815899974201
RP,0,0,5.765082700003404,,,33709,False,5.765082700003404
Hit,1,0,,5.226248899998609,,33709,False,5.226248899998609
RP,0,0,5.993424799991772,,,33709,False,5.993424799991772
Hit,1,0,,7.7204794000135735,,33709,False,7.7204794000135735
Hit,1,0,,4.04147950001061,,33709,False,4.04147950001061
Miss,1,0,,4.378661400056444,,33709,False,4.378661400056444
Unsure,1,0,,3.5723251000163145,,33709,False,3.5723251000163145
FTI,1,1,,5.217231400019955,0.1797538999817334,33709,False,5.217231400019955
RP,0,0,3.5961761999642476,,,33709,True,3.5961761999642476
Miss,1,0,,5.559677100041881,,33709,False,5.559677100041881
FTI,1,1,,4.160978999978397,0.5531195000512525,33709,False,4.160978999978397
Hit,1,0,,3.0604594000033103,,33709,False,3.0604594000033103
RP,0,0,1.9685296000097878,,,33709,True,1.9685296000097878
RP,0,0,3.3393252000096254,,,33709,True,3.3393252000096254
RP,0,0,4.055064300016966,,,33709,False,4.055064300016966
FTI,1,1,,3.6203841000096872,0.034203499963041395,33709,False,3.6203841000096872
Miss,1,0,,5.820732499996666,,33709,False,5.820732499996666
RP,0,0,3.2979731999803334,,,33709,True,3.2979731999803334
Hit,1,0,,3.675533700035885,,33709,False,3.675533700035885
RP,0,0,4.659097399970051,,,33709,False,4.659097399970051
RP,0,0,4.84733319998486,,,33709,False,4.84733319998486
RP,0,0,4.2951748999767005,,,33709,False,4.2951748999767005
RP,0,0,4.111114100029226,,,33709,False,4.111114100029226
RP,0,0,4.127518699970096,,,33709,False,4.127518699970096
RP,0,0,3.5999277000082657,,,33709,True,3.5999277000082657
Unsure,1,0,,4.371307099994738,,33709,False,4.371307099994738
Unsure,1,0,,4.054050599981565,,33709,False,4.054050599981565
RP,0,0,3.3537659000139683,,,33709,True,3.3537659000139683
RP,0,0,4.56029460002901,,,33709,False,4.56029460002901
Hit,1,0,,3.6087555999984033,,33709,False,3.6087555999984033
RP,0,0,3.8295678999857046,,,33709,True,3.8295678999857046
RP,0,0,4.348187799972948,,,33709,False,4.348187799972948
Unsure,1,0,,4.74520050000865,,33709,False,4.74520050000865
RP,0,0,6.691410300030839,,,33709,False,6.691410300030839
RP,0,0,3.239567300013732,,,33709,True,3.239567300013732
Hit,1,0,,2.6852387000108138,,33709,False,2.6852387000108138
RP,0,0,2.4891227000043727,,,33709,True,2.4891227000043727
Unsure,1,0,,3.1348380999988876,,33709,False,3.1348380999988876
Unsure,1,0,,4.025111599999946,,33709,False,4.025111599999946
Miss,1,0,,3.268413399986457,,33709,False,3.268413399986457
RP,0,0,2.4173577000037767,,,33709,True,2.4173577000037767
RP,0,0,4.524429599987343,,,33709,False,4.524429599987343
Miss,1,0,,3.8171221999800764,,33709,False,3.8171221999800764
RP,0,0,3.6742445999989286,,,33709,True,3.6742445999989286
RP,0,0,3.726727800036315,,,33709,True,3.726727800036315
Miss,1,0,,2.731826600036584,,33709,False,2.731826600036584
RP,0,0,3.315842200012412,,,33709,True,3.315842200012412
RP,0,0,3.5353761999867857,,,33709,True,3.5353761999867857
Hit,1,0,,4.655030999972951,,33709,False,4.655030999972951
RP,0,0,4.329099399968982,,,33709,False,4.329099399968982
Hit,1,0,,5.438674799981527,,33709,False,5.438674799981527
RP,0,0,2.9146477000322193,,,33709,True,2.9146477000322193
RP,0,0,4.314675799978431,,,33709,False,4.314675799978431
FTI,1,1,,4.7163922999752685,0.20322919997852296,33709,False,4.7163922999752685
RP,0,0,2.874206799955573,,,33709,True,2.874206799955573
Unsure,1,0,,3.9432794000022113,,33709,False,3.9432794000022113
RP,0,0,3.30899450002471,,,33709,True,3.30899450002471
Miss,1,0,,3.7313866000040434,,33709,False,3.7313866000040434
RP,0,0,3.2508365000248887,,,33709,True,3.2508365000248887
Miss,1,0,,5.273469100007787,,33709,False,5.273469100007787
FTI,1,1,,3.768650999991223,0.14463910000631586,33709,False,3.768650999991223
RP,0,0,3.6697373000206426,,,33709,True,3.6697373000206426
RP,0,0,6.183005600003526,,,33709,False,6.183005600003526
Miss,1,0,,3.393818100041244,,33709,False,3.393818100041244
RP,0,0,4.173149100039154,,,33709,False,4.173149100039154
Hit,1,0,,3.730046199983917,,33709,False,3.730046199983917
Unsure,1,0,,4.724805600009859,,33709,False,4.724805600009859
FTI,1,1,,2.5789571999921463,0.11039739998523146,33709,False,2.5789571999921463
RP,0,0,2.6399611000088044,,,33709,True,2.6399611000088044
RP,0,0,5.879177899973001,,,33709,False,5.879177899973001
Miss,1,0,,3.3179556999821216,,33709,False,3.3179556999821216
RP,0,0,3.3059358000173233,,,33709,True,3.3059358000173233
RP,0,0,3.432638500002213,,,33709,True,3.432638500002213
RP,0,0,3.40730199997779,,,33709,True,3.40730199997779
RP,0,0,4.166677300003357,,,33709,False,4.166677300003357
FTI,1,1,,4.4026199000072666,0.14881689997855574,33709,False,4.4026199000072666
RP,0,0,2.18864130001748,,,33709,True,2.18864130001748
RP,0,0,2.47137450001901,,,33709,True,2.47137450001901
Miss,1,0,,3.6418488000053912,,33709,False,3.6418488000053912
RP,0,0,5.565533499990124,,,33709,False,5.565533499990124
Miss,1,0,,3.4110228000208735,,33709,False,3.4110228000208735
Miss,1,0,,4.864042799978051,,33709,False,4.864042799978051
RP,0,0,4.773329100047704,,,33709,False,4.773329100047704
RP,0,0,4.6396879000240006,,,33709,False,4.6396879000240006
Miss,1,0,,3.713365299976431,,33709,False,3.713365299976431
RP,0,0,5.057353699987289,,,33709,False,5.057353699987289
Miss,1,0,,3.756969799986109,,33709,False,3.756969799986109
RP,0,0,3.1224173000082374,,,33709,True,3.1224173000082374
FTI,1,1,,4.784579000028316,0.015486599993892014,33709,False,4.784579000028316
RP,0,0,2.195947400003206,,,33709,True,2.195947400003206
FTI,1,1,,3.8185062000411563,0.27341209998121485,33709,False,3.8185062000411563
RP,0,0,3.1160841999808326,,,33709,True,3.1160841999808326
RP,0,0,4.3513785999966785,,,33709,False,4.3513785999966785
RP,0,0,3.263458899979014,,,33709,True,3.263458899979014
Hit,1,0,,2.6900735999806784,,33709,False,2.6900735999806784
RP,0,0,3.1996541999978945,,,33709,True,3.1996541999978945
RP,0,0,4.589922600018326,,,33709,False,4.589922600018326
FTI,1,1,,4.357887500023935,0.31427289999555796,33709,False,4.357887500023935
Miss,1,0,,2.9620301999966614,,33709,False,2.9620301999966614
Hit,1,0,,4.661897699988913,,33709,False,4.661897699988913
Hit,1,0,,3.745012699975632,,33709,False,3.745012699975632
RP,0,0,2.7237565999967046,,,33709,True,2.7237565999967046
RP,0,0,5.063526900019497,,,33709,False,5.063526900019497
RP,0,0,3.7362003999878652,,,33709,True,3.7362003999878652
RP,0,0,2.510889999975916,,,33709,True,2.510889999975916
RP,0,0,3.463932000042405,,,33709,True,3.463932000042405
RP,0,0,3.771539900044445,,,33709,True,3.771539900044445
RP,0,0,3.0229243999929167,,,33709,True,3.0229243999929167
RP,0,0,3.0719000000390224,,,33709,True,3.0719000000390224
Unsure,1,0,,3.3862951999763027,,33709,False,3.3862951999763027
RP,0,0,2.7243243000120856,,,33709,True,2.7243243000120856
RP,0,0,3.3279279000125825,,,33709,True,3.3279279000125825
Miss,1,0,,3.2563360999920405,,33709,False,3.2563360999920405
Miss,1,0,,2.503242200007662,,33709,False,2.503242200007662
RP,0,0,2.3563772000488825,,,33709,True,2.3563772000488825
RP,0,0,2.677629300043918,,,33709,True,2.677629300043918
RP,0,0,3.7606486000004224,,,33709,True,3.7606486000004224
Miss,1,0,,2.8676398000097834,,33709,False,2.8676398000097834
RP,0,0,2.2369383000186644,,,33709,True,2.2369383000186644
RP,0,0,4.158281899988651,,,33709,False,4.158281899988651
RP,0,0,5.140531999990344,,,33709,False,5.140531999990344
RP,0,0,4.73575280001387,,,33709,False,4.73575280001387
Miss,1,0,,3.189133199979551,,33709,False,3.189133199979551
RP,0,0,3.013423700002022,,,33709,True,3.013423700002022
Miss,1,0,,4.9333391999825835,,33709,False,4.9333391999825835
RP,0,0,4.572354300005827,,,33709,False,4.572354300005827
RP,0,0,4.992433900013566,,,33709,False,4.992433900013566
RP,0,0,4.462869899987709,,,33709,False,4.462869899987709
RP,0,0,3.832002700015437,,,33709,True,3.832002700015437
FTI,1,1,,4.376214699994307,0.1991608000244014,33709,False,4.376214699994307
FTI,1,1,,2.29183090000879,0.2578579999972135,33709,False,2.29183090000879
RP,0,0,2.560773800010793,,,33709,True,2.560773800010793
RP,0,0,3.327297299983911,,,33709,True,3.327297299983911
Unsure,1,0,,2.6515747000230476,,33709,False,2.6515747000230476
RP,0,0,2.76393850002205,,,33709,True,2.76393850002205
Unsure,1,0,,3.1924835999961942,,33709,False,3.1924835999961942
