index,condition,Estimate,2.5_ci,97.5_ci,SE,DF,time
1,Miss,-0.267,-0.842,0.308,0.293,3299.0,-1.817744140625
2,RP,-0.335,-0.653,-0.016,0.162,3299.0,-1.817744140625
0,Hit,-0.148,-0.832,0.536,0.349,3299.0,-1.807744140625
1,Miss,-0.34,-0.927,0.247,0.299,3299.0,-1.807744140625
2,RP,-0.38,-0.705,-0.055,0.166,3299.0,-1.807744140625
0,Hit,-0.492,-1.174,0.19,0.348,3299.0,-1.7977441406249997
1,Miss,-0.244,-0.829,0.342,0.298,3299.0,-1.7977441406249997
2,RP,-0.426,-0.75,-0.102,0.165,3299.0,-1.7977441406249997
0,Hit,-0.784,-1.49,-0.079,0.359,349.501,-1.7877441406249996
1,Miss,-0.29,-0.908,0.329,0.313,172.401,-1.7877441406249996
2,RP,-0.528,-0.904,-0.151,0.185,34.245,-1.7877441406249996
0,Hit,-0.732,-1.442,-0.022,0.361,343.102,-1.7777441406249996
1,Miss,-0.465,-1.088,0.158,0.316,172.076,-1.7777441406249996
2,RP,-0.562,-0.945,-0.18,0.189,34.532,-1.7777441406249996
0,Hit,-0.549,-1.264,0.165,0.363,344.798,-1.7677441406249996
1,Miss,-0.381,-1.008,0.246,0.318,172.15,-1.7677441406249996
2,RP,-0.58,-0.965,-0.196,0.189,34.447,-1.7677441406249996
0,Hit,-0.552,-1.257,0.154,0.359,397.727,-1.7577441406249996
1,Miss,-0.212,-0.825,0.402,0.311,186.943,-1.7577441406249996
2,RP,-0.573,-0.934,-0.211,0.178,36.37,-1.7577441406249996
0,Hit,-0.592,-1.294,0.11,0.357,397.106,-1.7477441406249996
1,Miss,-0.327,-0.937,0.283,0.309,186.181,-1.7477441406249996
2,RP,-0.37,-0.73,-0.01,0.177,36.188,-1.7477441406249996
0,Hit,-0.441,-1.143,0.262,0.357,422.361,-1.7377441406249996
1,Miss,-0.562,-1.171,0.046,0.308,193.981,-1.7377441406249996
2,RP,-0.228,-0.581,0.125,0.174,37.539,-1.7377441406249996
0,Hit,-0.481,-1.19,0.227,0.36,428.158,-1.7277441406249996
