condition,Estimate,2.5_ci,97.5_ci,SE,DF,time,frequency
RP,3.57,0.988,6.152,1.25,23.707,-1.9,0.5
FTI,5.504,2.49,8.518,1.5,49.104,-1.9,0.5
Miss,1.135,0.467,1.803,0.325,26.536,-1.9,1.5128205128205128
Hit,1.156,0.474,1.839,0.334,29.337,-1.9,1.5128205128205128
RP,1.017,0.365,1.67,0.316,23.486,-1.9,1.5128205128205128
FTI,1.36,0.632,2.088,0.36,39.802,-1.9,1.5128205128205128
Miss,0.829,0.228,1.431,0.294,28.539,-1.9,2.525641025641025
Hit,0.925,0.305,1.545,0.305,33.067,-1.9,2.525641025641025
RP,0.863,0.284,1.443,0.281,23.75,-1.9,2.525641025641025
FTI,1.203,0.521,1.884,0.339,50.784,-1.9,2.525641025641025
Miss,0.892,0.461,1.322,0.212,33.098,-1.9,3.5384615384615383
Hit,0.859,0.406,1.312,0.224,41.884,-1.9,3.5384615384615383
RP,0.79,0.386,1.194,0.196,24.32,-1.9,3.5384615384615383
FTI,1.312,0.788,1.836,0.263,79.174,-1.9,3.5384615384615383
Miss,0.937,0.608,1.266,0.162,33.255,-1.9,4.55128205128205
Hit,0.874,0.528,1.22,0.172,42.205,-1.9,4.55128205128205
RP,0.826,0.518,1.134,0.149,24.329,-1.9,4.55128205128205
FTI,1.249,0.848,1.651,0.202,80.295,-1.9,4.55128205128205
Miss,1.008,0.703,1.314,0.15,32.211,-1.9,5.564102564102564
Hit,0.978,0.658,1.298,0.158,40.16,-1.9,5.564102564102564
RP,0.945,0.657,1.233,0.14,24.191,-1.9,5.564102564102564
FTI,1.155,0.787,1.522,0.184,73.453,-1.9,5.564102564102564
Miss,1.258,0.782,1.735,0.234,31.717,-1.9,6.5769230769230775
Hit,1.179,0.68,1.678,0.247,39.212,-1.9,6.5769230769230775
RP,1.266,0.815,1.716,0.218,24.114,-1.9,6.5769230769230775
FTI,1.427,0.858,1.996,0.286,70.362,-1.9,6.5769230769230775
Miss,1.64,0.925,2.354,0.35,30.407,-1.9,7.589743589743589
Hit,1.455,0.712,2.199,0.367,36.678,-1.9,7.589743589743589
RP,1.702,1.022,2.383,0.33,23.942,-1.9,7.589743589743589
FTI,2.05,1.213,2.887,0.419,62.163,-1.9,7.589743589743589
Miss,2.044,1.252,2.837,0.388,29.508,-1.9,8.602564102564102
Hit,1.818,0.996,2.639,0.405,34.961,-1.9,8.602564102564102
RP,2.039,1.281,2.798,0.367,23.821,-1.9,8.602564102564102
FTI,2.761,1.846,3.676,0.457,56.753,-1.9,8.602564102564102
Miss,2.387,1.609,3.165,0.381,30.179,-1.9,9.615384615384617
Hit,2.076,1.267,2.885,0.399,36.25,-1.9,9.615384615384617
RP,2.227,1.486,2.969,0.359,23.903,-1.9,9.615384615384617
FTI,3.151,2.242,4.059,0.454,60.824,-1.9,9.615384615384617
Miss,2.395,1.736,3.053,0.323,31.63,-1.9,10.628205128205126
Hit,2.05,1.361,2.739,0.341,39.059,-1.9,10.628205128205126
RP,2.146,1.524,2.769,0.302,24.087,-1.9,10.628205128205126
FTI,3.008,2.222,3.794,0.394,69.908,-1.9,10.628205128205126
Miss,2.036,1.56,2.511,0.234,34.256,-1.9,11.64102564102564
Hit,1.8,1.297,2.304,0.25,44.268,-1.9,11.64102564102564
RP,1.826,1.383,2.27,0.215,24.39,-1.9,11.64102564102564
FTI,2.479,1.89,3.068,0.296,87.563,-1.9,11.64102564102564
Miss,1.571,1.24,1.901,0.163,37.254,-1.9,12.653846153846152
Hit,1.479,1.126,1.833,0.176,50.383,-1.9,12.653846153846152
RP,1.447,1.144,1.75,0.147,24.708,-1.9,12.653846153846152
FTI,1.859,1.435,2.283,0.214,109.436,-1.9,12.653846153846152
Miss,1.223,0.968,1.478,0.126,37.135,-1.9,13.666666666666664
Hit,1.206,0.933,1.479,0.136,50.104,-1.9,13.666666666666664
RP,1.146,0.911,1.38,0.114,24.723,-1.9,13.666666666666664
FTI,1.38,1.053,1.707,0.165,108.315,-1.9,13.666666666666664
