condition,Estimate,2.5_ci,97.5_ci,SE,DF,time,frequency
RP,0.058,0.027,0.09,0.015,26.198,-1.55,36.96153846153846
FTI,0.045,-0.006,0.096,0.026,210.15,-1.55,36.96153846153846
Miss,0.042,0.016,0.068,0.013,61.341,-1.55,37.97435897435897
Hit,0.025,-0.004,0.055,0.015,102.884,-1.55,37.97435897435897
RP,0.039,0.018,0.061,0.011,27.394,-1.55,37.97435897435897
FTI,0.032,-0.007,0.071,0.02,324.073,-1.55,37.97435897435897
Miss,0.028,0.011,0.046,0.009,64.432,-1.55,38.987179487179496
Hit,0.015,-0.005,0.035,0.01,110.011,-1.55,38.987179487179496
RP,0.025,0.011,0.04,0.007,27.696,-1.55,38.987179487179496
FTI,0.022,-0.005,0.048,0.014,355.829,-1.55,38.987179487179496
Miss,0.018,0.007,0.029,0.005,58.439,-1.55,40.0
Hit,0.009,-0.003,0.021,0.006,96.244,-1.55,40.0
RP,0.015,0.006,0.024,0.004,27.112,-1.55,40.0
FTI,0.014,-0.002,0.031,0.008,294.858,-1.55,40.0
Miss,2.823,0.467,5.178,1.148,27.104,-1.5,0.5
Hit,3.012,0.6,5.423,1.182,30.388,-1.5,0.5
RP,3.072,0.782,5.362,1.109,23.56,-1.5,0.5
FTI,4.924,2.328,7.521,1.287,42.829,-1.5,0.5
Miss,1.112,0.569,1.656,0.264,25.928,-1.5,1.5128205128205128
Hit,1.098,0.545,1.651,0.27,28.225,-1.5,1.5128205128205128
RP,0.968,0.435,1.501,0.258,23.404,-1.5,1.5128205128205128
FTI,0.957,0.372,1.541,0.288,36.673,-1.5,1.5128205128205128
Miss,0.885,0.452,1.318,0.211,26.844,-1.5,2.525641025641025
Hit,0.696,0.253,1.139,0.217,29.907,-1.5,2.525641025641025
RP,0.816,0.394,1.238,0.204,23.526,-1.5,2.525641025641025
FTI,0.966,0.491,1.441,0.235,41.436,-1.5,2.525641025641025
Miss,0.853,0.568,1.138,0.139,27.222,-1.5,3.5384615384615383
Hit,0.692,0.4,0.984,0.143,30.609,-1.5,3.5384615384615383
RP,0.761,0.485,1.038,0.134,23.573,-1.5,3.5384615384615383
FTI,0.876,0.561,1.191,0.156,43.475,-1.5,3.5384615384615383
Miss,0.88,0.599,1.161,0.137,29.375,-1.5,4.55128205128205
Hit,0.801,0.51,1.092,0.143,34.66,-1.5,4.55128205128205
RP,0.852,0.583,1.121,0.13,23.849,-1.5,4.55128205128205
FTI,0.94,0.617,1.263,0.161,55.699,-1.5,4.55128205128205
Miss,0.956,0.665,1.246,0.143,32.889,-1.5,5.564102564102564
Hit,0.981,0.676,1.286,0.151,41.494,-1.5,5.564102564102564
RP,1.003,0.73,1.275,0.132,24.273,-1.5,5.564102564102564
FTI,1.088,0.735,1.44,0.177,77.923,-1.5,5.564102564102564
Miss,1.247,0.783,1.711,0.228,31.706,-1.5,6.5769230769230775
Hit,1.329,0.843,1.814,0.24,39.192,-1.5,6.5769230769230775
RP,1.328,0.889,1.766,0.213,24.109,-1.5,6.5769230769230775
FTI,1.294,0.74,1.848,0.278,70.306,-1.5,6.5769230769230775
Miss,1.705,0.976,2.433,0.356,29.297,-1.5,7.589743589743589
Hit,1.753,0.999,2.507,0.371,34.549,-1.5,7.589743589743589
RP,1.827,1.128,2.525,0.338,23.804,-1.5,7.589743589743589
FTI,1.641,0.803,2.478,0.418,55.446,-1.5,7.589743589743589
Miss,2.105,1.315,2.895,0.386,29.102,-1.5,8.602564102564102
Hit,2.048,1.231,2.865,0.402,34.192,-1.5,8.602564102564102
RP,2.247,1.489,3.006,0.367,23.766,-1.5,8.602564102564102
FTI,1.892,0.986,2.797,0.452,54.371,-1.5,8.602564102564102
Miss,2.39,1.635,3.144,0.369,29.885,-1.5,9.615384615384617
Hit,2.21,1.426,2.993,0.386,35.69,-1.5,9.615384615384617
RP,2.446,1.725,3.166,0.349,23.862,-1.5,9.615384615384617
FTI,2.047,1.171,2.924,0.438,59.061,-1.5,9.615384615384617
Miss,2.328,1.675,2.98,0.32,30.873,-1.5,10.628205128205126
Hit,2.129,1.448,2.809,0.336,37.582,-1.5,10.628205128205126
RP,2.283,1.663,2.902,0.3,23.998,-1.5,10.628205128205126
FTI,2.093,1.323,2.863,0.386,65.077,-1.5,10.628205128205126
Miss,1.925,1.457,2.393,0.23,32.664,-1.5,11.64102564102564
Hit,1.816,1.324,2.308,0.244,41.09,-1.5,11.64102564102564
RP,1.843,1.403,2.283,0.213,24.211,-1.5,11.64102564102564
FTI,1.929,1.362,2.496,0.285,76.67,-1.5,11.64102564102564
Miss,1.453,1.154,1.752,0.147,35.754,-1.5,12.653846153846152
Hit,1.431,1.113,1.749,0.158,47.318,-1.5,12.653846153846152
RP,1.381,1.105,1.658,0.134,24.539,-1.5,12.653846153846152
FTI,1.587,1.21,1.965,0.19,98.377,-1.5,12.653846153846152
Miss,1.108,0.9,1.315,0.102,38.065,-1.5,13.666666666666664
Hit,1.105,0.882,1.327,0.111,52.065,-1.5,13.666666666666664
RP,1.057,0.868,1.247,0.092,24.791,-1.5,13.666666666666664
FTI,1.23,0.962,1.498,0.135,115.639,-1.5,13.666666666666664
Miss,0.916,0.726,1.105,0.093,34.911,-1.5,14.67948717948718
Hit,0.891,0.69,1.092,0.1,45.547,-1.5,14.67948717948718
RP,0.887,0.711,1.063,0.085,24.497,-1.5,14.67948717948718
FTI,0.976,0.739,1.212,0.119,91.927,-1.5,14.67948717948718
Miss,0.826,0.623,1.029,0.1,31.239,-1.5,15.692307692307693
Hit,0.783,0.571,0.995,0.105,38.247,-1.5,15.692307692307693
RP,0.819,0.627,1.012,0.093,24.083,-1.5,15.692307692307693
FTI,0.831,0.59,1.071,0.121,67.121,-1.5,15.692307692307693
Miss,0.788,0.568,1.008,0.108,29.57,-1.5,16.705128205128204
Hit,0.739,0.511,0.967,0.112,35.027,-1.5,16.705128205128204
RP,0.799,0.588,1.009,0.102,23.879,-1.5,16.705128205128204
FTI,0.754,0.5,1.008,0.127,56.831,-1.5,16.705128205128204
Miss,0.78,0.538,1.023,0.119,28.979,-1.5,17.71794871794872
Hit,0.721,0.469,0.972,0.124,33.901,-1.5,17.71794871794872
RP,0.795,0.561,1.028,0.113,23.804,-1.5,17.71794871794872
FTI,0.718,0.44,0.995,0.138,53.337,-1.5,17.71794871794872
Miss,0.791,0.508,1.074,0.138,28.484,-1.5,18.73076923076923
Hit,0.707,0.415,0.998,0.143,32.963,-1.5,18.73076923076923
RP,0.795,0.522,1.067,0.132,23.743,-1.5,18.73076923076923
FTI,0.715,0.395,1.035,0.159,50.464,-1.5,18.73076923076923
Miss,0.809,0.472,1.146,0.165,27.779,-1.5,19.743589743589748
Hit,0.688,0.341,1.034,0.17,31.638,-1.5,19.743589743589748
RP,0.792,0.465,1.118,0.158,23.655,-1.5,19.743589743589748
FTI,0.739,0.362,1.116,0.187,46.484,-1.5,19.743589743589748
Miss,0.824,0.429,1.218,0.192,27.04,-1.5,20.756410256410252
Hit,0.659,0.256,1.063,0.198,30.262,-1.5,20.756410256410252
RP,0.779,0.396,1.163,0.186,23.559,-1.5,20.756410256410252
FTI,0.774,0.34,1.208,0.215,42.447,-1.5,20.756410256410252
Miss,0.828,0.385,1.27,0.215,26.473,-1.5,21.76923076923077
Hit,0.626,0.175,1.077,0.221,29.215,-1.5,21.76923076923077
RP,0.753,0.321,1.185,0.209,23.484,-1.5,21.76923076923077
FTI,0.796,0.315,1.277,0.238,39.441,-1.5,21.76923076923077
Miss,0.82,0.345,1.296,0.231,26.178,-1.5,22.78205128205128
Hit,0.596,0.111,1.08,0.237,28.673,-1.5,22.78205128205128
RP,0.713,0.247,1.178,0.225,23.445,-1.5,22.78205128205128
FTI,0.781,0.267,1.295,0.254,37.91,-1.5,22.78205128205128
Miss,0.803,0.313,1.293,0.238,26.106,-1.5,23.794871794871803
Hit,0.572,0.073,1.07,0.244,28.542,-1.5,23.794871794871803
RP,0.662,0.183,1.141,0.232,23.436,-1.5,23.794871794871803
FTI,0.725,0.196,1.253,0.261,37.542,-1.5,23.794871794871803
Miss,0.775,0.293,1.257,0.235,26.15,-1.5,24.80769230769231
Hit,0.547,0.056,1.039,0.24,28.622,-1.5,24.80769230769231
RP,0.606,0.135,1.078,0.228,23.442,-1.5,24.80769230769231
FTI,0.646,0.125,1.167,0.257,37.764,-1.5,24.80769230769231
Miss,0.731,0.279,1.183,0.22,26.266,-1.5,25.820512820512818
Hit,0.514,0.054,0.974,0.225,28.835,-1.5,25.820512820512818
RP,0.551,0.11,0.993,0.214,23.458,-1.5,25.820512820512818
FTI,0.571,0.082,1.06,0.242,38.363,-1.5,25.820512820512818
Miss,0.668,0.265,1.07,0.196,26.512,-1.5,26.83333333333333
Hit,0.468,0.057,0.879,0.201,29.285,-1.5,26.83333333333333
RP,0.5,0.107,0.893,0.19,23.491,-1.5,26.83333333333333
FTI,0.512,0.074,0.95,0.217,39.637,-1.5,26.83333333333333
Miss,0.586,0.244,0.928,0.167,27.049,-1.5,27.84615384615385
Hit,0.414,0.064,0.764,0.172,30.276,-1.5,27.84615384615385
RP,0.452,0.119,0.785,0.161,23.563,-1.5,27.84615384615385
FTI,0.464,0.088,0.841,0.187,42.478,-1.5,27.84615384615385
Miss,0.494,0.215,0.774,0.137,28.204,-1.5,28.85897435897436
Hit,0.357,0.069,0.645,0.141,32.426,-1.5,28.85897435897436
RP,0.404,0.134,0.674,0.131,23.716,-1.5,28.85897435897436
FTI,0.416,0.101,0.731,0.157,48.821,-1.5,28.85897435897436
Miss,0.403,0.181,0.625,0.109,30.469,-1.5,29.871794871794872
Hit,0.303,0.072,0.535,0.114,36.732,-1.5,29.871794871794872
RP,0.353,0.142,0.565,0.103,24.01,-1.5,29.871794871794872
FTI,0.359,0.099,0.62,0.13,62.171,-1.5,29.871794871794872
Miss,0.32,0.145,0.494,0.086,34.225,-1.5,30.884615384615387
Hit,0.254,0.07,0.438,0.091,44.097,-1.5,30.884615384615387
RP,0.301,0.138,0.463,0.079,24.476,-1.5,30.884615384615387
FTI,0.296,0.081,0.512,0.108,86.68,-1.5,30.884615384615387
Miss,0.249,0.112,0.385,0.067,39.147,-1.5,31.897435897435894
Hit,0.209,0.062,0.356,0.073,54.116,-1.5,31.897435897435894
RP,0.248,0.124,0.372,0.06,25.057,-1.5,31.897435897435894
FTI,0.233,0.055,0.411,0.09,122.687,-1.5,31.897435897435894
Miss,0.19,0.083,0.297,0.053,44.245,-1.5,32.91025641025641
Hit,0.169,0.052,0.286,0.059,64.858,-1.5,32.91025641025641
RP,0.199,0.103,0.294,0.046,25.628,-1.5,32.91025641025641
FTI,0.175,0.028,0.321,0.074,163.913,-1.5,32.91025641025641
Miss,0.143,0.058,0.228,0.042,49.014,-1.5,33.92307692307692
Hit,0.132,0.039,0.226,0.047,75.194,-1.5,33.92307692307692
RP,0.154,0.081,0.228,0.036,26.138,-1.5,33.92307692307692
FTI,0.126,0.007,0.245,0.06,205.571,-1.5,33.92307692307692
Miss,0.105,0.039,0.171,0.033,53.47,-1.5,34.93589743589744
Hit,0.099,0.026,0.172,0.037,85.063,-1.5,34.93589743589744
RP,0.116,0.059,0.172,0.027,26.598,-1.5,34.93589743589744
FTI,0.088,-0.007,0.183,0.048,246.822,-1.5,34.93589743589744
Miss,0.076,0.027,0.125,0.024,56.527,-1.5,35.94871794871795
Hit,0.07,0.015,0.125,0.028,91.939,-1.5,35.94871794871795
RP,0.083,0.041,0.124,0.02,26.904,-1.5,35.94871794871795
FTI,0.06,-0.011,0.132,0.036,276.281,-1.5,35.94871794871795
Miss,0.053,0.019,0.087,0.017,55.576,-1.5,36.96153846153846
Hit,0.047,0.009,0.085,0.019,89.797,-1.5,36.96153846153846
RP,0.056,0.027,0.085,0.014,26.806,-1.5,36.96153846153846
FTI,0.042,-0.008,0.092,0.025,267.062,-1.5,36.96153846153846
Miss,0.036,0.014,0.058,0.011,48.876,-1.5,37.97435897435897
Hit,0.03,0.006,0.055,0.012,74.902,-1.5,37.97435897435897
RP,0.036,0.017,0.056,0.009,26.117,-1.5,37.97435897435897
FTI,0.029,-0.002,0.06,0.016,204.405,-1.5,37.97435897435897
Miss,0.024,0.01,0.037,0.007,39.106,-1.5,38.987179487179496
Hit,0.019,0.004,0.034,0.007,54.037,-1.5,38.987179487179496
RP,0.022,0.01,0.035,0.006,25.047,-1.5,38.987179487179496
FTI,0.02,0.002,0.038,0.009,122.414,-1.5,38.987179487179496
Miss,0.015,0.007,0.023,0.004,31.891,-1.5,40.0
Hit,0.012,0.003,0.021,0.004,39.492,-1.5,40.0
RP,0.013,0.005,0.021,0.004,24.188,-1.5,40.0
FTI,0.013,0.003,0.023,0.005,71.133,-1.5,40.0
Miss,2.778,0.463,5.093,1.128,27.005,-1.45,0.5
Hit,2.941,0.572,5.31,1.16,30.204,-1.45,0.5
RP,3.02,0.768,5.272,1.09,23.546,-1.45,0.5
FTI,4.849,2.302,7.396,1.262,42.294,-1.45,0.5
Miss,1.112,0.577,1.647,0.26,26.052,-1.45,1.5128205128205128
Hit,1.092,0.547,1.637,0.266,28.452,-1.45,1.5128205128205128
RP,0.969,0.445,1.493,0.253,23.42,-1.45,1.5128205128205128
FTI,0.929,0.352,1.506,0.285,37.307,-1.45,1.5128205128205128
Miss,0.889,0.469,1.309,0.205,26.757,-1.45,2.525641025641025
Hit,0.691,0.262,1.12,0.21,29.746,-1.45,2.525641025641025
RP,0.812,0.403,1.221,0.198,23.514,-1.45,2.525641025641025
FTI,0.938,0.478,1.397,0.228,40.974,-1.45,2.525641025641025
Miss,0.843,0.558,1.128,0.139,27.258,-1.45,3.5384615384615383
Hit,0.683,0.391,0.975,0.143,30.676,-1.45,3.5384615384615383
RP,0.771,0.494,1.048,0.134,23.578,-1.45,3.5384615384615383
FTI,0.835,0.52,1.15,0.156,43.67,-1.45,3.5384615384615383
Miss,0.888,0.605,1.172,0.139,29.352,-1.45,4.55128205128205
Hit,0.818,0.524,1.111,0.144,34.616,-1.45,4.55128205128205
RP,0.863,0.591,1.135,0.132,23.847,-1.45,4.55128205128205
FTI,0.913,0.587,1.239,0.163,55.557,-1.45,4.55128205128205
Miss,0.978,0.682,1.275,0.146,33.472,-1.45,5.564102564102564
Hit,1.018,0.706,1.331,0.155,42.652,-1.45,5.564102564102564
RP,1.009,0.732,1.287,0.135,24.341,-1.45,5.564102564102564
FTI,1.04,0.677,1.403,0.182,81.861,-1.45,5.564102564102564
Miss,1.267,0.79,1.744,0.234,32.304,-1.45,6.5769230769230775
Hit,1.337,0.836,1.837,0.248,40.37,-1.45,6.5769230769230775
RP,1.347,0.898,1.797,0.218,24.178,-1.45,6.5769230769230775
FTI,1.238,0.663,1.813,0.289,74.222,-1.45,6.5769230769230775
Miss,1.746,1.001,2.49,0.364,29.493,-1.45,7.589743589743589
Hit,1.739,0.968,2.511,0.38,34.925,-1.45,7.589743589743589
RP,1.856,1.144,2.569,0.345,23.827,-1.45,7.589743589743589
FTI,1.551,0.692,2.41,0.429,56.619,-1.45,7.589743589743589
Miss,2.179,1.375,2.984,0.393,29.092,-1.45,8.602564102564102
Hit,2.098,1.266,2.931,0.41,34.172,-1.45,8.602564102564102
RP,2.265,1.493,3.038,0.374,23.766,-1.45,8.602564102564102
FTI,1.785,0.863,2.707,0.46,54.308,-1.45,8.602564102564102
Miss,2.458,1.694,3.223,0.374,29.725,-1.45,9.615384615384617
Hit,2.343,1.549,3.136,0.391,35.379,-1.45,9.615384615384617
RP,2.448,1.717,3.179,0.354,23.845,-1.45,9.615384615384617
FTI,1.962,1.077,2.848,0.443,58.074,-1.45,9.615384615384617
Miss,2.376,1.714,3.038,0.324,30.683,-1.45,10.628205128205126
Hit,2.282,1.593,2.971,0.34,37.213,-1.45,10.628205128205126
RP,2.284,1.655,2.913,0.305,23.975,-1.45,10.628205128205126
FTI,2.033,1.255,2.812,0.39,63.88,-1.45,10.628205128205126
Miss,1.973,1.497,2.45,0.234,32.509,-1.45,11.64102564102564
Hit,1.929,1.429,2.43,0.248,40.788,-1.45,11.64102564102564
RP,1.849,1.401,2.297,0.217,24.19,-1.45,11.64102564102564
FTI,1.867,1.291,2.443,0.289,75.664,-1.45,11.64102564102564
Miss,1.51,1.206,1.814,0.15,35.892,-1.45,12.653846153846152
Hit,1.496,1.172,1.819,0.161,47.612,-1.45,12.653846153846152
RP,1.39,1.109,1.67,0.136,24.545,-1.45,12.653846153846152
FTI,1.499,1.115,1.882,0.193,99.463,-1.45,12.653846153846152
Miss,1.166,0.958,1.375,0.103,38.671,-1.45,13.666666666666664
Hit,1.145,0.921,1.37,0.112,53.335,-1.45,13.666666666666664
RP,1.065,0.875,1.255,0.092,24.847,-1.45,13.666666666666664
FTI,1.123,0.851,1.394,0.137,120.39,-1.45,13.666666666666664
Miss,0.973,0.783,1.164,0.094,35.104,-1.45,14.67948717948718
Hit,0.93,0.728,1.133,0.101,45.933,-1.45,14.67948717948718
RP,0.891,0.714,1.068,0.086,24.523,-1.45,14.67948717948718
FTI,0.875,0.636,1.113,0.12,93.272,-1.45,14.67948717948718
Miss,0.892,0.686,1.098,0.101,31.157,-1.45,15.692307692307693
Hit,0.823,0.608,1.038,0.106,38.086,-1.45,15.692307692307693
RP,0.816,0.621,1.011,0.095,24.076,-1.45,15.692307692307693
FTI,0.749,0.505,0.992,0.122,66.588,-1.45,15.692307692307693
Miss,0.868,0.647,1.09,0.108,29.44,-1.45,16.705128205128204
Hit,0.769,0.54,0.998,0.113,34.779,-1.45,16.705128205128204
RP,0.788,0.576,1.0,0.103,23.862,-1.45,16.705128205128204
FTI,0.686,0.431,0.941,0.127,56.055,-1.45,16.705128205128204
Miss,0.868,0.63,1.107,0.116,28.628,-1.45,17.71794871794872
Hit,0.737,0.491,0.982,0.121,33.238,-1.45,17.71794871794872
RP,0.777,0.548,1.007,0.111,23.758,-1.45,17.71794871794872
FTI,0.653,0.383,0.923,0.135,51.312,-1.45,17.71794871794872
Miss,0.875,0.604,1.146,0.132,27.741,-1.45,18.73076923076923
Hit,0.718,0.439,0.996,0.137,31.572,-1.45,18.73076923076923
RP,0.771,0.508,1.033,0.127,23.645,-1.45,18.73076923076923
FTI,0.651,0.348,0.953,0.15,46.299,-1.45,18.73076923076923
Miss,0.878,0.554,1.201,0.158,26.759,-1.45,19.743589743589748
Hit,0.707,0.376,1.038,0.162,29.745,-1.45,19.743589743589748
RP,0.763,0.448,1.079,0.153,23.518,-1.45,19.743589743589748
FTI,0.685,0.33,1.039,0.175,40.962,-1.45,19.743589743589748
Miss,0.865,0.48,1.25,0.187,25.946,-1.45,20.756410256410252
Hit,0.694,0.302,1.086,0.191,28.252,-1.45,20.756410256410252
RP,0.753,0.376,1.13,0.183,23.411,-1.45,20.756410256410252
FTI,0.745,0.331,1.159,0.204,36.738,-1.45,20.756410256410252
Miss,0.835,0.392,1.278,0.215,25.395,-1.45,21.76923076923077
Hit,0.67,0.221,1.119,0.219,27.252,-1.45,21.76923076923077
RP,0.737,0.301,1.172,0.211,23.337,-1.45,21.76923076923077
FTI,0.802,0.332,1.273,0.232,33.981,-1.45,21.76923076923077
Miss,0.795,0.305,1.284,0.238,25.123,-1.45,22.78205128205128
Hit,0.64,0.145,1.136,0.241,26.761,-1.45,22.78205128205128
RP,0.712,0.23,1.194,0.233,23.3,-1.45,22.78205128205128
FTI,0.826,0.31,1.343,0.254,32.65,-1.45,22.78205128205128
Miss,0.756,0.24,1.272,0.25,25.068,-1.45,23.794871794871803
Hit,0.613,0.09,1.135,0.254,26.661,-1.45,23.794871794871803
RP,0.676,0.168,1.185,0.246,23.293,-1.45,23.794871794871803
FTI,0.803,0.259,1.346,0.267,32.38,-1.45,23.794871794871803
Miss,0.722,0.207,1.238,0.25,25.153,-1.45,24.80769230769231
Hit,0.587,0.065,1.109,0.254,26.813,-1.45,24.80769230769231
RP,0.629,0.121,1.136,0.246,23.305,-1.45,24.80769230769231
FTI,0.741,0.197,1.286,0.267,32.79,-1.45,24.80769230769231
Miss,0.686,0.199,1.173,0.237,25.347,-1.45,25.820512820512818
Hit,0.557,0.063,1.051,0.241,27.164,-1.45,25.820512820512818
RP,0.573,0.094,1.051,0.232,23.332,-1.45,25.820512820512818
FTI,0.666,0.149,1.182,0.254,33.737,-1.45,25.820512820512818
Miss,0.638,0.202,1.074,0.212,25.625,-1.45,26.83333333333333
Hit,0.518,0.075,0.961,0.216,27.666,-1.45,26.83333333333333
RP,0.514,0.085,0.942,0.207,23.37,-1.45,26.83333333333333
FTI,0.593,0.127,1.059,0.23,35.11,-1.45,26.83333333333333
Miss,0.574,0.202,0.947,0.181,25.964,-1.45,27.84615384615385
Hit,0.468,0.088,0.847,0.185,28.282,-1.45,27.84615384615385
RP,0.456,0.09,0.821,0.177,23.417,-1.45,27.84615384615385
FTI,0.523,0.122,0.924,0.198,36.814,-1.45,27.84615384615385
Miss,0.499,0.195,0.804,0.148,26.469,-1.45,28.85897435897436
Hit,0.407,0.097,0.718,0.152,29.205,-1.45,28.85897435897436
RP,0.399,0.101,0.696,0.144,23.485,-1.45,28.85897435897436
FTI,0.451,0.12,0.782,0.164,39.409,-1.45,28.85897435897436
Miss,0.419,0.18,0.659,0.117,27.476,-1.45,29.871794871794872
Hit,0.341,0.095,0.586,0.12,31.066,-1.45,29.871794871794872
RP,0.343,0.111,0.575,0.112,23.621,-1.45,29.871794871794872
FTI,0.374,0.109,0.64,0.132,44.782,-1.45,29.871794871794872
Miss,0.341,0.159,0.523,0.089,29.515,-1.45,30.884615384615387
Hit,0.274,0.085,0.463,0.093,34.905,-1.45,30.884615384615387
RP,0.288,0.113,0.462,0.084,23.888,-1.45,30.884615384615387
FTI,0.296,0.087,0.506,0.105,56.405,-1.45,30.884615384615387
Miss,0.268,0.131,0.405,0.067,33.032,-1.45,31.897435897435894
Hit,0.215,0.071,0.359,0.071,41.73,-1.45,31.897435897435894
RP,0.236,0.107,0.364,0.062,24.33,-1.45,31.897435897435894
FTI,0.224,0.058,0.391,0.084,78.599,-1.45,31.897435897435894
Miss,0.204,0.1,0.308,0.051,37.686,-1.45,32.91025641025641
Hit,0.166,0.056,0.277,0.055,51.109,-1.45,32.91025641025641
RP,0.189,0.094,0.284,0.046,24.883,-1.45,32.91025641025641
FTI,0.163,0.03,0.296,0.067,111.617,-1.45,32.91025641025641
Miss,0.151,0.072,0.23,0.039,41.884,-1.45,33.92307692307692
Hit,0.128,0.042,0.214,0.043,59.856,-1.45,33.92307692307692
RP,0.147,0.076,0.218,0.034,25.357,-1.45,33.92307692307692
FTI,0.114,0.009,0.22,0.053,144.466,-1.45,33.92307692307692
Miss,0.109,0.049,0.169,0.03,43.938,-1.45,34.93589743589744
Hit,0.097,0.032,0.162,0.033,64.223,-1.45,34.93589743589744
RP,0.111,0.057,0.164,0.026,25.58,-1.45,34.93589743589744
FTI,0.078,-0.003,0.159,0.041,161.476,-1.45,34.93589743589744
Miss,0.077,0.033,0.12,0.022,43.371,-1.45,35.94871794871795
Hit,0.071,0.023,0.118,0.024,63.014,-1.45,35.94871794871795
RP,0.08,0.041,0.118,0.019,25.517,-1.45,35.94871794871795
FTI,0.053,-0.006,0.112,0.03,156.737,-1.45,35.94871794871795
Miss,0.052,0.022,0.083,0.015,40.688,-1.45,36.96153846153846
Hit,0.049,0.017,0.082,0.016,57.344,-1.45,36.96153846153846
RP,0.054,0.027,0.082,0.013,25.221,-1.45,36.96153846153846
FTI,0.036,-0.004,0.076,0.02,134.869,-1.45,36.96153846153846
Miss,0.035,0.015,0.055,0.01,36.947,-1.45,37.97435897435897
Hit,0.033,0.012,0.054,0.011,49.6,-1.45,37.97435897435897
RP,0.035,0.017,0.053,0.009,24.795,-1.45,37.97435897435897
FTI,0.024,-0.001,0.049,0.013,106.148,-1.45,37.97435897435897
Miss,0.022,0.01,0.035,0.006,33.456,-1.45,38.987179487179496
Hit,0.021,0.008,0.035,0.007,42.571,-1.45,38.987179487179496
RP,0.022,0.01,0.033,0.006,24.381,-1.45,38.987179487179496
FTI,0.016,0.001,0.032,0.008,81.45,-1.45,38.987179487179496
Miss,0.014,0.006,0.022,0.004,30.929,-1.45,40.0
Hit,0.013,0.005,0.021,0.004,37.618,-1.45,40.0
RP,0.013,0.005,0.02,0.004,24.07,-1.45,40.0
FTI,0.011,0.002,0.02,0.005,65.01,-1.45,40.0
Miss,2.73,0.459,5.001,1.107,26.918,-1.4,0.5
Hit,2.874,0.551,5.197,1.138,30.044,-1.4,0.5
RP,2.97,0.759,5.181,1.07,23.535,-1.4,0.5
FTI,4.747,2.253,7.242,1.236,41.833,-1.4,0.5
Miss,1.111,0.581,1.642,0.258,26.211,-1.4,1.5128205128205128
Hit,1.087,0.546,1.628,0.264,28.742,-1.4,1.5128205128205128
RP,0.972,0.453,1.491,0.251,23.441,-1.4,1.5128205128205128
FTI,0.916,0.342,1.49,0.284,38.122,-1.4,1.5128205128205128
Miss,0.89,0.478,1.301,0.2,26.723,-1.4,2.525641025641025
Hit,0.698,0.277,1.118,0.206,29.682,-1.4,2.525641025641025
RP,0.809,0.408,1.21,0.194,23.51,-1.4,2.525641025641025
FTI,0.914,0.464,1.364,0.223,40.791,-1.4,2.525641025641025
Miss,0.833,0.545,1.121,0.141,27.434,-1.4,3.5384615384615383
Hit,0.675,0.38,0.971,0.145,31.001,-1.4,3.5384615384615383
RP,0.781,0.502,1.061,0.135,23.602,-1.4,3.5384615384615383
FTI,0.802,0.482,1.122,0.159,44.622,-1.4,3.5384615384615383
Miss,0.894,0.616,1.172,0.136,29.406,-1.4,4.55128205128205
Hit,0.831,0.543,1.119,0.142,34.718,-1.4,4.55128205128205
RP,0.864,0.598,1.131,0.129,23.854,-1.4,4.55128205128205
FTI,0.898,0.578,1.218,0.16,55.875,-1.4,4.55128205128205
Miss,0.995,0.695,1.295,0.148,33.46,-1.4,5.564102564102564
Hit,1.034,0.717,1.35,0.157,42.631,-1.4,5.564102564102564
RP,1.008,0.728,1.289,0.136,24.337,-1.4,5.564102564102564
FTI,1.051,0.683,1.418,0.185,81.797,-1.4,5.564102564102564
Miss,1.28,0.794,1.765,0.238,32.345,-1.4,6.5769230769230775
Hit,1.308,0.799,1.817,0.252,40.456,-1.4,6.5769230769230775
RP,1.358,0.901,1.815,0.221,24.177,-1.4,6.5769230769230775
FTI,1.28,0.695,1.865,0.294,74.53,-1.4,6.5769230769230775
Miss,1.776,1.035,2.518,0.363,29.321,-1.4,7.589743589743589
Hit,1.7,0.932,2.468,0.378,34.6,-1.4,7.589743589743589
RP,1.858,1.147,2.569,0.344,23.803,-1.4,7.589743589743589
FTI,1.524,0.671,2.377,0.426,55.615,-1.4,7.589743589743589
Miss,2.238,1.439,3.036,0.39,28.885,-1.4,8.602564102564102
Hit,2.124,1.299,2.949,0.406,33.78,-1.4,8.602564102564102
RP,2.245,1.478,3.012,0.372,23.738,-1.4,8.602564102564102
FTI,1.675,0.764,2.587,0.455,53.102,-1.4,8.602564102564102
Miss,2.514,1.752,3.275,0.373,29.525,-1.4,9.615384615384617
Hit,2.422,1.633,3.212,0.389,34.996,-1.4,9.615384615384617
RP,2.415,1.686,3.144,0.353,23.821,-1.4,9.615384615384617
FTI,1.845,0.965,2.724,0.439,56.87,-1.4,9.615384615384617
Miss,2.41,1.752,3.068,0.322,30.427,-1.4,10.628205128205126
Hit,2.374,1.689,3.059,0.338,36.716,-1.4,10.628205128205126
RP,2.258,1.632,2.885,0.304,23.945,-1.4,10.628205128205126
FTI,1.928,1.157,2.699,0.386,62.283,-1.4,10.628205128205126
Miss,1.988,1.516,2.46,0.232,32.345,-1.4,11.64102564102564
Hit,2.021,1.526,2.517,0.245,40.466,-1.4,11.64102564102564
RP,1.836,1.391,2.28,0.215,24.168,-1.4,11.64102564102564
